equipment_id,category,subcategory,brand,model,public_name,status_public,setup_domain,primary_role,is_hardware,is_software,analog_digital,mono_stereo,power_category,power_notes_public,data_quality_status,privacy_level,public_notes
EQP-0001,instrument,electric_guitar,Fender,Player Stratocaster SSS,Player Stratocaster SSS,available,instrument,bright_single_coil_guitar,true,false,not_applicable,not_applicable,not_applicable,not_applicable,verified,public_sample,Curated public-safe instrument used across several workflow examples.
EQP-0002,effect,distortion,Boss,DS-1,DS-1 Distortion,available,guitar_effect,raw_distortion,true,false,analog,mono,low_current_9v,9V DC center-negative; exact current excluded from the analytical model,verified,public_sample,Representative distortion stage for direct alternative-rock workflows.
EQP-0003,effect,chorus,Electro-Harmonix,Neo Clone,Neo Clone,reference,guitar_effect,chorus_texture,true,false,analog,mono,low_current_9v,9V DC center-negative,sample,public_sample,Representative chorus item retained as a public-safe reference record.
EQP-0004,amplification,modeling_amp,Line 6,Catalyst 60,Catalyst 60,available,amplification,clean_or_crunch_amp_platform,true,false,digital,mono,standard_amp_power,standard amplifier power supply,verified,public_sample,"Reusable output platform for clean, crunch and direct guitar workflows."
EQP-0005,recording_hardware,audio_interface,Steinberg,UR22C,UR22C,available,recording,audio_interface_for_recording,true,false,digital,stereo,usb_powered,USB powered,sample,public_sample,Representative interface record for direct recording workflows.
EQP-0006,midi_controller,keyboard_controller,Native Instruments,Komplete Kontrol M32,Komplete Kontrol M32,available,midi,compact_midi_keyboard,true,false,digital,not_applicable,usb_powered,USB powered,verified,public_sample,Compact MIDI input example for software-based arrangements.
EQP-0007,software,daw,Ableton,Live 12 Intro,Ableton Live 12 Intro,available,software,loop_and_arrangement_daw,false,true,digital,stereo,software,software item,verified,public_sample,"DAW environment used for recording, arrangement and reporting examples."
EQP-0008,effect,fuzz,Electro-Harmonix,Little Big Muff,Little Big Muff,available,guitar_effect,fuzz_sustain,true,false,analog,mono,low_current_9v,9V DC center-negative,verified,public_sample,Core fuzz example for layered guitar workflows.
EQP-0009,power_utility,pedal_power_supply,Harley Benton,PowerPlant ISO-2AC Pro Modular,PowerPlant ISO-2AC Pro Modular,available,utility,pedal_power_distribution,true,false,not_applicable,not_applicable,external_power,isolated pedal power supply,sample,public_sample,Utility record used to demonstrate non-audio support equipment.
EQP-0010,software,plugin_subscription,Universal Audio,UAD Spark,UAD Spark,reference,software,native_audio_plugins,false,true,digital,stereo,software,software item,sample,public_sample,Representative native-plugin environment for software processing examples.
EQP-0011,instrument,electric_guitar,PRS,SE Standard 24-08,SE Standard 24-08,available,instrument,dual_humbucker_and_split_guitar,true,false,not_applicable,not_applicable,not_applicable,not_applicable,verified,public_sample,Versatile instrument example for gain-stage and recording comparisons.
EQP-0012,instrument,electric_guitar,Harley Benton,TE-25TH,TE-25TH,available,instrument,tele_style_guitar,true,false,not_applicable,not_applicable,not_applicable,not_applicable,verified,public_sample,Public-safe instrument example for bright rhythm and jangle workflows.
