soundchain_id,chain_name,target_sound,sound_axis,workflow_type,tuning_context,primary_reference_id,primary_instrument_id,output_equipment_id,output_context,complexity_level,status_public,privacy_level,public_description
SC-0001,Grunge Punk Distortion,raw direct distortion with optional chorus,grunge_90s_alternative,guitar_signal_chain,eb_or_standard_song_dependent,REF-0001,EQP-0001,EQP-0004,amp_platform,basic,verified_public_sample,public_sample,Simple guitar-to-distortion workflow with an optional chorus stage.
SC-0002,Fuzz Layering,thick fuzz texture for alternative rock,alternative_fuzz_layering,guitar_signal_chain,eb_or_standard_song_dependent,REF-0002,EQP-0011,EQP-0004,amp_platform,intermediate,verified_public_sample,public_sample,Layered fuzz workflow with delay and amplifier output.
SC-0003,Indie Jangle Clean,bright clean or light-crunch guitar texture,indie_britpop_jangle,guitar_signal_chain,standard_or_capo_song_dependent,REF-0003,EQP-0012,EQP-0021,amp_platform,basic,verified_public_sample,public_sample,Bright rhythm workflow using a clean or lightly driven modeling platform.
SC-0004,Ambient Post Punk Texture,"chorus, delay and reverb oriented clean texture",post_punk_ambient_texture,guitar_signal_chain,standard_song_dependent,REF-0004,EQP-0013,EQP-0005,recording_output,advanced,verified_public_sample,public_sample,Stereo-capable texture workflow routed through an interface for recording.
SC-0005,Recording Interface Workflow,direct recording workflow for DAW-based production,recording_workflow,recording_workflow,not_applicable,REF-0008,EQP-0005,EQP-0007,daw_or_interface,basic,verified_public_sample,public_sample,Core routing workflow from interface to DAW with optional MIDI and native processing.
SC-0006,Pop Punk Rhythm,tight distorted rhythm with defined attack,punk_pop_punk,guitar_signal_chain,standard_or_eb_song_dependent,REF-0006,EQP-0011,EQP-0021,amp_platform,intermediate,verified_public_sample,public_sample,"Defined rhythm workflow with compression, overdrive and distortion stages."
SC-0007,Stoner Riff,dry mid-forward riff sound with optional fuzz,riff_rock_stoner,guitar_signal_chain,c_standard_or_song_dependent,REF-0005,EQP-0011,EQP-0024,amp_platform,intermediate,verified_public_sample,public_sample,Riff-focused workflow using overdrive and a selectable fuzz stage.
SC-0008,Garage Fuzz Contrast,raw fuzz sound with compact amplifier output,garage_fuzz_riff,guitar_signal_chain,standard_song_dependent,REF-0012,EQP-0012,EQP-0023,amp_platform,basic,verified_public_sample,public_sample,Minimal high-contrast workflow for garage-style fuzz and compact amplification.
SC-0009,Clean Compression Tracking,controlled clean guitar for direct recording,blues_clean_overdrive,recording_workflow,eb_song_dependent,REF-0011,EQP-0001,EQP-0007,daw_output,intermediate,verified_public_sample,public_sample,Tracking workflow comparing fast compression before interface and DAW capture.
SC-0010,Stereo Ambient Recording,stereo delay and reverb workflow for layered recording,post_punk_ambient_texture,recording_workflow,standard_song_dependent,REF-0004,EQP-0013,EQP-0007,daw_output,advanced,verified_public_sample,public_sample,"Multi-stage ambient workflow using stereo-capable modulation, delay and reverb."
SC-0011,Low Volume Tube Practice,touch-responsive low-volume practice sound,psychedelic_blues_rock,guitar_signal_chain,standard_or_eb_song_dependent,REF-0010,EQP-0001,EQP-0025,amp_platform,basic,verified_public_sample,public_sample,Apartment-oriented workflow using a compact attenuated tube amplifier.
SC-0012,Layered Delay Recording,distorted guitar with character and multi-mode delay,fuzz_indie_lead,recording_workflow,standard_song_dependent,REF-0007,EQP-0011,EQP-0007,daw_output,advanced,verified_public_sample,public_sample,"Layered recording workflow combining gain, character delay, multi-mode delay and DAW capture."
