reference_id,artist_or_band,sound_axis,importance_public,reference_role,learning_focus,production_focus,gear_anchor_public,tuning_notes_public,dashboard_group,data_quality_status,privacy_level,public_notes
REF-0001,Nirvana,grunge_90s_alternative,core,playing_reference,dynamics_powerchords_raw_distortion,raw_direct_arrangement,distortion_chorus_amp_platform,eb_or_standard_song_dependent,alternative_rock,verified,public_sample,Reference for dynamic alternative-rock sound design.
REF-0002,Smashing Pumpkins,alternative_fuzz_layering,core,sound_design_reference,fuzz_layers_sustain_arrangement_thinking,guitar_layering_and_doubletracking,fuzz_distortion_amp_platform,eb_song_dependent,alternative_rock,verified,public_sample,Reference for layered fuzz and arrangement thinking.
REF-0003,Oasis,indie_britpop_jangle,context,songwriting_reference,open_chords_jangle_songwriting,big_chorus_arrangement,bright_guitar_light_drive_amp_platform,standard_or_capo_song_dependent,indie_jangle,sample,public_sample,Reference for jangle and song structure.
REF-0004,The Cure,post_punk_ambient_texture,core,sound_design_reference,chorus_delay_atmosphere_arrangement,space_texture_and_modulation,chorus_delay_reverb_clean_platform,standard_song_dependent,post_punk_texture,verified,public_sample,Reference for atmospheric guitar textures.
REF-0005,Queens of the Stone Age,riff_rock_stoner,context,rhythm_reference,dry_riffing_midrange_groove,dry_forward_riff_production,drive_amp_platform_phaser,c_standard_or_song_dependent,riff_rock,verified,public_sample,Reference for dry riff-oriented sound design.
REF-0006,Blink-182,punk_pop_punk,core,playing_reference,powerchords_palm_muting_timing,direct_rhythm_guitar,distortion_amp_platform,standard_or_eb_song_dependent,punk_pop_punk,verified,public_sample,Reference for direct pop-punk rhythm guitar.
REF-0007,Dinosaur Jr.,fuzz_indie_lead,context,sound_design_reference,fuzz_leads_noise_and_melody,loud_guitar_texture,fuzz_delay_amp_platform,standard_song_dependent,alternative_rock,sample,public_sample,Reference for fuzz-led melodic texture.
REF-0008,New Order,post_punk_synth_pop,context,production_reference,basslines_synth_layers_minimal_guitar,hybrid_band_and_electronic_arrangement,chorus_delay_midi_daw_workflow,standard_song_dependent,post_punk_texture,verified,public_sample,Reference for hybrid electronic and guitar workflow.
REF-0009,The Strokes,garage_indie_rhythm,core,rhythm_reference,interlocking_rhythm_parts_tight_timing,compact_guitar_arrangement,light_drive_compact_amp_platform,standard_song_dependent,garage_indie,verified,public_sample,Reference for concise rhythm arrangement and controlled gain.
REF-0010,Jimi Hendrix,psychedelic_blues_rock,context,playing_reference,dynamic_touch_chords_and_fuzz,expressive_guitar_arrangement,fuzz_drive_tremolo_amp_platform,standard_or_eb_song_dependent,blues_psychedelic,sample,public_sample,Reference for dynamic touch and modulation-led guitar workflows.
REF-0011,Stevie Ray Vaughan,blues_clean_overdrive,context,playing_reference,dynamic_clean_overdrive_and_attack,focused_trio_arrangement,single_coil_overdrive_amp_platform,eb_song_dependent,blues_psychedelic,sample,public_sample,Reference for clean-to-overdrive dynamics and controlled compression.
REF-0012,Jack White,garage_fuzz_riff,context,sound_design_reference,raw_fuzz_riffs_and_contrast,minimal_high_contrast_arrangement,fuzz_compact_amp_platform,standard_song_dependent,garage_indie,sample,public_sample,"Reference for raw fuzz, compact routing and arrangement contrast."
